,TICKER,NAME,CIK
11,A,Agilent Technologies Inc,0001090872
28,AAL,American Airlines Group,0000006201
8,AAP,Advance Auto Parts,0001158449
46,AAPL,Apple Inc.,0000320193
2,ABBV,AbbVie Inc.,0001551152
35,ABC,AmerisourceBergen Corp,0001140859
3,ABMD,ABIOMED Inc,0000815094
1,ABT,Abbott Laboratories,0000001800
4,ACN,Accenture plc,0001467373
6,ADBE,Adobe Inc.,0000796343
39,ADI,"Analog Devices, Inc.",0000006281
49,ADM,Archer-Daniels-Midland Co,0000007084
56,ADP,Automatic Data Processing,0000008670
55,ADSK,Autodesk Inc.,0000769397
27,AEE,Ameren Corp,0001002910
29,AEP,American Electric Power,0000004904
9,AES,AES Corp,0000874761
10,AFL,AFLAC Inc,0000004977
31,AIG,American International Group,0000005272
45,AIV,Apartment Investment & Management,0000922864
52,AIZ,Assurant,0001267238
51,AJG,Arthur J. Gallagher & Co.,0000354190
13,AKAM,Akamai Technologies Inc,0001086222
15,ALB,Albemarle Corp,0000915913
18,ALGN,Align Technology,0001097149
14,ALK,Alaska Air Group Inc,0000766421
21,ALL,Allstate Corp,0000899051
19,ALLE,Allegion,0001579241
17,ALXN,Alexion Pharmaceuticals,0000899866
47,AMAT,Applied Materials Inc.,0000006951
26,AMCR,Amcor plc,0001748790
7,AMD,Advanced Micro Devices Inc,0000002488
36,AME,AMETEK Inc.,0001037868
37,AMGN,Amgen Inc.,0000318154
34,AMP,Ameriprise Financial,0000820027
32,AMT,American Tower Corp.,0001053507
25,AMZN,Amazon.com Inc.,0001018724
50,ANET,Arista Networks,0001596532
40,ANSS,ANSYS,0001013462
41,ANTM,Anthem,0001156039
42,AON,Aon plc,0000315293
43,AOS,A.O. Smith Corp,0000091142
44,APA,Apache Corporation,0000006769
12,APD,Air Products & Chemicals Inc,0000002969
38,APH,Amphenol Corp,0000820313
48,APTV,Aptiv PLC,0001521332
16,ARE,Alexandria Real Estate Equities,0001035443
54,ATO,Atmos Energy,0000731802
5,ATVI,Activision Blizzard,0000718877
58,AVB,AvalonBay Communities,0000915912
77,AVGO,Broadcom Inc.,0001730168
59,AVY,Avery Dennison Corp,0000008818
33,AWK,American Water Works Company Inc,0001410636
30,AXP,American Express Co,0000004962
57,AZO,AutoZone Inc,0000866787
71,BA,Boeing Company,0000012927
62,BAC,Bank of America Corp,0000070858
64,BAX,Baxter International Inc.,0000010456
67,BBY,Best Buy Co. Inc.,0000764478
65,BDX,Becton Dickinson,0000010795
205,BEN,Franklin Resources,0000038777
79,BF.B,Brown-Forman Corp.,0000014693
69,BIIB,Biogen Inc.,0000875045
68,BIO,Bio-Rad Laboratories,0000012208
63,BK,The Bank of New York Mellon,0001390777
72,BKNG,Booking Holdings Inc,0001075531
60,BKR,Baker Hughes Co,0001701605
70,BLK,BlackRock,0001364742
61,BLL,Ball Corp,0000009389
