,TICKER,NAME,CIK,DATE,VARIABLE
271,K,Kellogg Co.,0000055067,1957-01-01,added_ticker
296,L,Loews Corp.,0000060086,1957-01-01,added_ticker
473,VIAC,ViacomCBS,0001339947,1957-01-01,added_ticker
303,MAR,Marriott Int'l.,0001048286,1957-01-01,added_ticker
287,LEG,Leggett & Platt,0000058492,1957-01-01,added_ticker
123,ED,Consolidated Edison,0001047862,1957-01-01,added_ticker
314,MET,MetLife Inc.,0001099219,1957-01-01,added_ticker
241,HBAN,Huntington Bancshares,0000049196,1957-01-01,added_ticker
152,D,Dominion Energy,0000715957,1957-01-01,added_ticker
240,HUM,Humana Inc.,0000049071,1957-01-01,added_ticker
211,GE,General Electric,0000040545,1957-01-01,added_ticker
205,BEN,Franklin Resources,0000038777,1957-01-01,added_ticker
455,USB,U.S. Bancorp,0000036104,1957-01-01,added_ticker
191,FITB,Fifth Third Bancorp,0000035527,1957-01-01,added_ticker
466,VLO,Valero Energy,0001035002,1957-01-01,added_ticker
413,SRE,Sempra Energy,0001032208,1957-01-01,added_ticker
356,OMC,Omnicom Group,0000029989,1957-01-01,added_ticker
374,PNW,Pinnacle West Capital,0000764622,1957-01-01,added_ticker
308,MKC,McCormick & Co.,0000063754,1957-01-01,added_ticker
407,SPGI,"S&P Global, Inc.",0000064040,1957-01-01,added_ticker
328,MSI,Motorola Solutions Inc.,0000068505,1957-01-01,added_ticker
492,WHR,Whirlpool Corp.,0000106640,1957-01-01,added_ticker
491,WY,Weyerhaeuser,0000106535,1957-01-01,added_ticker
342,NI,NiSource Inc.,0001111711,1957-01-01,added_ticker
394,RTX,Raytheon Technologies,0000101829,1957-01-01,added_ticker
432,TROW,T. Rowe Price Group,0001113169,1957-01-01,added_ticker
434,TPR,"Tapestry, Inc.",0001116132,1957-01-01,added_ticker
452,TSN,Tyson Foods,0000100493,1957-01-01,added_ticker
442,TMO,Thermo Fisher Scientific,0000097745,1957-01-01,added_ticker
282,LHX,L3Harris Technologies,0000202058,1957-01-01,added_ticker
440,TXN,Texas Instruments,0000097476,1957-01-01,added_ticker
424,STT,State Street Corp.,0000093751,1957-01-01,added_ticker
136,DHR,Danaher Corp.,0000313616,1957-01-01,added_ticker
277,KLAC,KLA Corporation,0000319201,1957-01-01,added_ticker
164,EBAY,eBay Inc.,0001065088,1957-01-01,added_ticker
325,MCO,Moody's Corp,0001059556,1957-01-01,added_ticker
345,NTRS,Northern Trust Corp.,0000073124,1957-01-01,added_ticker
178,ES,Eversource Energy,0000072741,1957-01-01,added_ticker
192,FE,FirstEnergy Corp,0001031296,1957-01-01,added_ticker
402,ROK,Rockwell Automation Inc.,0001024478,1957-01-01,added_ticker
363,PAYX,Paychex Inc.,0000723531,1957-01-01,added_ticker
497,XRX,Xerox,0000108772,1957-01-01,added_ticker
137,DRI,Darden Restaurants,0000940944,1957-01-01,added_ticker
423,SBUX,Starbucks Corp.,0000829224,1957-01-01,added_ticker
311,MCK,McKesson Corp.,0000927653,1957-01-01,added_ticker
