QTR_START,QTR_NAME,WIKI_LINK,ACTUAL_DATE
2020-07-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=967087863,2020-07-11
2020-04-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=948755187,2020-04-02
2020-01-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=933578501,2020-01-01
2019-10-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=919149042,2019-10-02
2019-07-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=904396595,2019-07-01
2019-04-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=890812369,2019-04-03
2019-01-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=876381084,2019-01-02
2018-10-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=862032166,2018-10-01
2018-07-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=848743304,2018-07-04
2018-04-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=834100494,2018-04-03
2018-01-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=818609288,2018-01-04
2017-10-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=805756885,2017-10-17
2017-07-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=789295478,2017-07-06
2017-04-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=773285560,2017-04-01
2017-01-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=758498086,2017-01-05
2016-10-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=742485031,2016-10-04
2016-07-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=728517224,2016-07-05
2016-04-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=713267546,2016-04-03
2016-01-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=698263460,2016-01-05
2015-10-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=684814233,2015-10-08
2015-07-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=670702461,2015-07-09
2015-04-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=655236344,2015-04-06
2015-01-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=641145516,2015-01-05
2014-10-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=630001316,2014-10-17
2014-07-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=615498888,2014-07-03
2014-04-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=602623107,2014-04-03
2014-01-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=589980759,2014-01-09
2013-10-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=576315767,2013-10-08
2013-07-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=563391308,2013-07-08
2013-04-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=548077861,2013-04-01
2013-01-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=531365713,2013-01-05
2012-10-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=515750874,2012-10-03
2012-07-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=500626684,2012-07-04
2012-04-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=486071834,2012-04-07
2012-01-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=469857836,2012-01-06
2011-10-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=453752842,2011-10-03
2011-07-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=437887013,2011-07-05
2011-04-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=422831434,2011-04-07
2011-01-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=405432541,2011-01-02
2010-10-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=389987854,2010-10-11
2010-07-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=373134620,2010-07-12
2010-04-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=353828995,2010-04-04
2010-01-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=337056614,2010-01-10
2009-10-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=317761789,2009-10-04
2009-07-01,,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&oldid=300494694,2009-07-05
